survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
0,3,male,22,1,0,7.25,S,Third,man,TRUE,,Southampton,no,FALSE
1,1,female,38,1,0,71.2833,C,First,woman,FALSE,C,Cherbourg,yes,FALSE
1,3,female,26,0,0,7.925,S,Third,woman,FALSE,,Southampton,yes,TRUE
1,1,female,35,1,0,53.1,S,First,woman,FALSE,C,Southampton,yes,FALSE
0,3,male,35,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,,0,0,8.4583,Q,Third,man,TRUE,,Queenstown,no,TRUE
0,1,male,54,0,0,51.8625,S,First,man,TRUE,E,Southampton,no,TRUE
0,3,male,2,3,1,21.075,S,Third,child,FALSE,,Southampton,no,FALSE
1,3,female,27,0,2,11.1333,S,Third,woman,FALSE,,Southampton,yes,FALSE
1,2,female,14,1,0,30.0708,C,Second,child,FALSE,,Cherbourg,yes,FALSE
1,3,female,4,1,1,16.7,S,Third,child,FALSE,G,Southampton,yes,FALSE
1,1,female,58,0,0,26.55,S,First,woman,FALSE,C,Southampton,yes,TRUE
0,3,male,20,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,39,1,5,31.275,S,Third,man,TRUE,,Southampton,no,FALSE
0,3,female,14,0,0,7.8542,S,Third,child,FALSE,,Southampton,no,TRUE
1,2,female,55,0,0,16,S,Second,woman,FALSE,,Southampton,yes,TRUE
0,3,male,2,4,1,29.125,Q,Third,child,FALSE,,Queenstown,no,FALSE
1,2,male,,0,0,13,S,Second,man,TRUE,,Southampton,yes,TRUE
0,3,female,31,1,0,18,S,Third,woman,FALSE,,Southampton,no,FALSE
1,3,female,,0,0,7.225,C,Third,woman,FALSE,,Cherbourg,yes,TRUE
0,2,male,35,0,0,26,S,Second,man,TRUE,,Southampton,no,TRUE
1,2,male,34,0,0,13,S,Second,man,TRUE,D,Southampton,yes,TRUE
1,3,female,15,0,0,8.0292,Q,Third,child,FALSE,,Queenstown,yes,TRUE
1,1,male,28,0,0,35.5,S,First,man,TRUE,A,Southampton,yes,TRUE
0,3,female,8,3,1,21.075,S,Third,child,FALSE,,Southampton,no,FALSE
1,3,female,38,1,5,31.3875,S,Third,woman,FALSE,,Southampton,yes,FALSE
0,3,male,,0,0,7.225,C,Third,man,TRUE,,Cherbourg,no,TRUE
0,1,male,19,3,2,263,S,First,man,TRUE,C,Southampton,no,FALSE
1,3,female,,0,0,7.8792,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
0,1,male,40,0,0,27.7208,C,First,man,TRUE,,Cherbourg,no,TRUE
1,1,female,,1,0,146.5208,C,First,woman,FALSE,B,Cherbourg,yes,FALSE
1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
0,2,male,66,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE
0,1,male,28,1,0,82.1708,C,First,man,TRUE,,Cherbourg,no,FALSE
0,1,male,42,1,0,52,S,First,man,TRUE,,Southampton,no,FALSE
1,3,male,,0,0,7.2292,C,Third,man,TRUE,,Cherbourg,yes,TRUE
0,3,male,21,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
0,3,female,18,2,0,18,S,Third,woman,FALSE,,Southampton,no,FALSE
1,3,female,14,1,0,11.2417,C,Third,child,FALSE,,Cherbourg,yes,FALSE
0,3,female,40,1,0,9.475,S,Third,woman,FALSE,,Southampton,no,FALSE
0,2,female,27,1,0,21,S,Second,woman,FALSE,,Southampton,no,FALSE
0,3,male,,0,0,7.8958,C,Third,man,TRUE,,Cherbourg,no,TRUE
1,2,female,3,1,2,41.5792,C,Second,child,FALSE,,Cherbourg,yes,FALSE
1,3,female,19,0,0,7.8792,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
0,3,male,,1,0,15.5,Q,Third,man,TRUE,,Queenstown,no,FALSE
1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
0,3,male,,2,0,21.6792,C,Third,man,TRUE,,Cherbourg,no,FALSE
